mean_knee,std_knee,mean_stride,symmetry,cadence,label
167.0626987060519,2.0814576767924047,0.014210371687164847,5.460194087678657,1.1320754716981132,normal
163.87005008309907,17.578622509197015,0.10293483952326433,16.282862115561706,1.5,normal
157.54283655543253,20.14417587403097,0.11955800373107195,20.24715351972703,1.6666666666666667,normal
174.6566102641448,4.349340400065134,0.11377052020053474,7.091816259696635,2.4489795918367347,normal
169.53881077277774,9.35702113372528,0.07416730515054755,8.889313523978737,2.4324324324324325,normal
160.02978091811516,20.68650511585901,0.09674222439110695,21.020855772714018,1.6783216783216783,normal
151.02527790635426,22.817578850398665,0.1004584538365217,21.755510905112263,1.5789473684210527,normal
173.68075107225266,5.658351277506268,0.06996649158628364,6.173069081340073,2.210526315789474,normal
173.45280469070906,5.386564842513978,0.09606342405489046,7.26459353255025,2.0547945205479454,normal
150.83837042039963,20.576956838365803,0.05676635600081304,15.85848371051579,1.829268292682927,normal
163.37889861948508,14.260856140067,0.08089978132268479,15.390829118761658,2.0689655172413794,normal
167.45410629602165,8.913027404875088,0.07251405642356401,8.602391282736823,1.8518518518518516,normal
169.17620087644127,6.189583015041749,0.05390089527279341,8.553985923363951,2.0408163265306123,normal
